passengerId,Longest_Run
148,11
463,5
471,9
496,3
833,14
1088,6
1238,8
1342,12
1580,8
1591,12
1645,8
1829,11
1959,3
2122,7
2142,5
2366,4
2659,2
2866,3
3175,8
3749,9
3794,13
3918,7
3997,8
4101,5
4519,3
4818,8
4900,7
4935,3
5156,6
5300,4
5518,4
5803,10
6336,7
6357,7
6397,2
6466,4
6620,2
6654,4
6658,7
7240,4
7253,4
7340,5
7554,6
7754,7
7833,8
7880,4
7982,3
7993,3
8086,3
8389,4
8592,6
8638,3
9376,10
9427,8
9465,10
9852,4
9900,4
10206,5
10362,1
10623,3
10817,1
11033,6
11141,5
11317,4
11458,4
11748,2
11858,6
12027,4
12046,3
12799,3
12940,8
13285,5
13289,5
13623,8
13832,2
13840,6
14450,2
14570,3
14832,2
15447,1
243,8
392,14
540,8
623,5
737,5
858,3
897,7
1025,12
1084,4
1127,3
1395,3
1460,6
1483,5
1507,10
1522,6
1721,6
1896,6
1990,5
2235,3
2387,10
2563,12
2580,9
2811,9
2999,2
3179,5
3226,7
3475,9
3698,7
4158,6
4161,10
4190,13
4219,5
4929,6
5614,4
6393,3
6623,2
6773,9
7168,6
7417,10
8105,8
8803,6
8928,6
8932,5
9182,5
9564,1
9879,5
10081,2
10121,4
10230,5
10462,4
10703,7
10914,6
11280,10
11316,6
11500,2
11710,3
12006,5
12367,2
12471,1
12611,2
12626,2
12715,2
13261,5
13622,4
14075,4
14148,2
14423,2
14465,4
14514,4
14536,4
14876,2
15003,2
15004,2
15100,2
15254,2
31,2
516,6
1139,5
1143,13
1270,8
1303,12
1322,11
1339,5
1352,10
1618,8
1650,8
1699,9
1903,12
2393,3
2572,8
2711,5
2776,13
2821,6
2996,9
3000,4
3213,3
3352,3
3488,9
3704,4
3761,4
4391,8
4489,8
5071,9
5117,6
5173,3
5287,4
5345,9
5984,10
6266,4
6482,4
6559,4
6622,12
6825,6
7281,1
7387,5
7850,12
7879,8
8222,7
8257,10
8407,6
8924,6
9162,2
9383,10
9454,6
9517,6
9558,1
10708,6
10798,10
10862,7
11025,6
11393,7
11639,2
11800,3
11936,2
12139,3
12393,2
12998,2
13009,5
13060,3
13207,2
13483,5
13601,4
13648,5
13875,3
13910,3
14289,1
14324,2
14377,2
14420,2
14714,5
14837,2
14997,2
15162,3
15173,5
15207,4
15296,2
85,2
137,7
251,4
451,14
580,9
808,3
1265,16
1884,10
1975,11
2025,2
2231,12
2259,7
2443,9
2488,13
2525,3
2721,6
2748,4
2923,5
3089,9
3098,7
3220,12
3490,11
3796,5
3876,12
3986,4
4042,11
4078,5
4186,4
4239,8
4364,11
4684,6
4937,4
5074,8
5155,6
5223,5
5308,5
5482,7
6361,6
6597,6
6598,3
7066,7
7098,7
7120,12
7530,9
7644,4
7910,7
8109,4
8650,7
8743,8
8779,2
8911,5
9071,3
9169,2
9946,5
10468,5
10745,4
10768,4
11146,4
11630,3
11713,4
12292,3
12366,2
13188,3
13465,2
13508,3
13898,7
13916,3
14315,2
14809,2
14958,2
15382,2
65,4
458,5
879,5
883,8
1223,7
1977,10
2096,5
2249,8
2392,9
2622,3
2655,8
2656,14
2833,5
2924,4
3377,3
3425,5
3561,8
3566,7
3834,4
3913,12
4000,7
4294,11
4307,12
4383,6
4957,10
5157,9
5217,5
5433,4
5513,9
5578,8
5682,8
5695,8
5697,6
5740,13
5907,6
6154,6
6301,5
6500,3
6934,3
6962,5
7152,4
7324,7
7333,6
7576,7
7661,13
8211,9
8501,12
8577,5
8665,5
8678,4
8716,6
9153,4
9206,5
9403,3
9597,1
9647,3
9775,3
10032,6
10395,4
10527,4
10567,4
10632,8
10788,5
10815,5
10840,1
11352,5
11482,2
11520,4
11745,7
11928,2
12210,9
12249,2
12284,8
12322,2
12607,4
13225,3
13329,6
13398,5
13504,5
13765,4
13795,5
13923,3
14660,3
14713,5
14752,5
14770,6
14779,5
14944,2
15292,2
15429,1
53,6
255,10
481,9
588,10
799,3
804,7
898,8
970,9
1157,5
2027,5
2156,12
2247,8
2559,11
2802,12
2914,7
3028,10
3042,5
3105,10
3631,11
3790,2
4092,13
4357,7
4477,3
5110,3
5527,4
5847,7
5995,9
6176,7
6396,9
6552,6
6722,5
6832,10
6864,11
6866,9
6890,6
6937,9
7109,4
7404,2
7567,5
7584,7
7810,14
7892,6
7987,8
8229,10
8701,2
9181,2
9344,4
9575,4
9675,4
9914,7
10090,2
10257,5
10264,7
10416,6
10597,9
10786,8
11143,8
11243,8
12184,7
12207,2
12264,3
12694,4
13468,5
13500,2
13997,3
14054,2
14124,2
14365,2
14458,2
14846,2
14874,2
15026,2
15070,5
15146,5
15221,2
15462,1
133,5
296,8
472,6
853,11
1466,10
1718,4
1766,9
1787,6
1888,13
2035,8
2238,7
2542,6
2874,7
3062,3
3242,8
3306,6
3691,9
4097,13
4291,8
4396,8
4583,8
4612,8
4799,5
4838,5
4859,3
5061,4
5100,9
5140,3
5178,6
5670,5
5929,5
6010,9
6376,4
6557,4
7206,3
7222,7
7736,3
8249,7
8409,5
8450,10
8482,7
8534,2
8612,3
8640,3
8857,6
8927,10
8950,5
9338,5
9475,4
9721,10
10013,4
10128,6
10605,8
10611,3
10882,2
11014,10
11287,3
