passengerId,filteredCountries
148,10
463,4
471,8
496,2
833,14
1088,5
1238,7
1342,11
1580,7
1591,11
1645,7
1829,10
1959,2
2122,8
2142,5
2366,3
2659,4
2866,2
3175,10
3749,8
3794,12
3918,6
3997,8
4101,5
4519,2
4818,7
4900,6
4935,2
5156,5
5300,3
5518,10
5803,10
6336,7
6357,11
6397,3
6466,3
6620,1
6654,3
6658,7
7240,7
7253,11
7340,4
7554,5
7754,11
7833,11
7880,3
7982,3
7993,2
8086,3
8389,8
8592,6
8638,2
9376,10
9427,7
9465,10
9852,3
9900,3
10206,6
10362,1
10623,2
10817,1
11033,5
11141,4
11317,3
11458,3
11748,2
11858,6
12027,3
12046,5
12799,3
12940,10
13285,4
13289,4
13623,7
13832,1
13840,5
14450,1
14570,2
14832,1
15447,1
243,8
392,16
540,7
623,4
737,8
858,2
897,6
1025,14
1084,8
1127,2
1395,2
1460,10
1483,4
1507,9
1522,5
1721,5
1896,5
1990,4
2235,5
2387,9
2563,11
2580,8
2811,9
2999,2
3179,8
3226,10
3475,8
3698,6
4158,6
4161,9
4190,12
4219,6
4929,6
5614,5
6393,5
6623,1
6773,11
7168,5
7417,9
8105,14
8803,11
8928,5
8932,4
9182,6
9564,1
9879,5
10081,1
10121,5
10230,4
10462,4
10703,7
10914,5
11280,9
11316,6
11500,1
11710,3
12006,4
12367,1
12471,1
12611,1
12626,1
12715,1
13261,4
13622,3
14075,4
14148,1
14423,1
14465,3
14514,3
14536,3
14876,1
15003,1
15004,1
15100,1
15254,1
31,1
516,5
1139,4
1143,12
1270,7
1303,11
1322,10
1339,5
1352,10
1618,7
1650,7
1699,8
1903,11
2393,2
2572,7
2711,4
2776,12
2821,5
2996,9
3000,5
3213,2
3352,2
3488,8
3704,3
3761,3
4391,11
4489,7
5071,8
5117,5
5173,2
5287,6
5345,8
5984,10
6266,3
6482,4
6559,3
6622,11
6825,8
7281,1
7387,8
7850,11
7879,7
8222,11
8257,12
8407,5
8924,5
9162,1
9383,10
9454,5
9517,9
9558,1
10708,6
10798,9
10862,8
11025,6
11393,7
11639,4
11800,3
11936,1
12139,2
12393,1
12998,1
13009,4
13060,2
13207,1
13483,4
13601,3
13648,4
13875,2
13910,3
14289,2
14324,1
14377,1
14420,1
14714,4
14837,1
14997,1
15162,2
15173,4
15207,3
15296,1
85,1
137,7
251,4
451,13
580,8
808,2
1265,15
1884,10
1975,10
2025,1
2231,13
2259,9
2443,14
2488,13
2525,5
2721,5
2748,3
2923,5
3089,9
3098,6
3220,11
3490,10
3796,5
3876,11
3986,4
4042,11
4078,8
4186,3
4239,7
4364,12
4684,5
4937,3
5074,11
5155,5
5223,4
5308,5
5482,11
6361,5
6597,5
6598,5
7066,6
7098,9
7120,11
7530,8
